#Screw.Type max_avulsion_force(kgs) max_cut_force(kgs) is_throughwall(1,0) is_selfdrill(1,0) d(mm) lenght(mm) accepted_material(, - seporator) max_a(mm) max_s(mm)
Metal 396,4751 736,3108 0 0 3,5 25 Tree,Metal,GKL,Dowel 37,5 75
Metal 396,4751 736,3108 0 0 3,5 32 Tree,Metal,GKL,Dowel 48 96
Metal 396,4751 736,3108 0 0 3,5 35 Tree,Metal,GKL,Dowel 52,5 105
Metal 497,3383 923,6282 0 0 3,8 41 Tree,Metal,GKL,Dowel 61,5 123
Metal 497,3383 923,6282 0 0 3,8 45 Tree,Metal,GKL,Dowel 67,5 135
Metal 497,3383 923,6282 0 0 3,8 51 Tree,Metal,GKL,Dowel 76,5 153
Metal 497,3383 923,6282 0 0 3,8 55 Tree,Metal,GKL,Dowel 82,5 165
Metal 649,5847 1206,371 0 0 4,2 64 Tree,Metal,GKL,Dowel 96 192
Metal 649,5847 1206,371 0 0 4,2 70 Tree,Metal,GKL,Dowel 105 210
Metal 649,5847 1206,371 0 0 4,2 75 Tree,Metal,GKL,Dowel 112,5 225
Metal 649,5847 1206,371 0 0 4,2 90 Tree,Metal,GKL,Dowel 135 270
Metal 1014,976 1884,956 0 0 5 102 Tree,Metal,GKL,Dowel 153 306
Metal 1014,976 1884,956 0 0 5 110 Tree,Metal,GKL,Dowel 165 330
Metal 1014,976 1884,956 0 0 5 120 Tree,Metal,GKL,Dowel 180 360
Metal 1014,976 1884,956 0 0 5 130 Tree,Metal,GKL,Dowel 195 390
Metal 1014,976 1884,956 0 0 5 152 Tree,Metal,GKL,Dowel 228 456
PO 649,5847 1206,371 0 0 4,2 13 Tree,Metal,GKL,Dowel 19,5 39
PO 649,5847 1206,371 0 0 4,2 14 Tree,Metal,GKL,Dowel 21 42
PO 649,5847 1206,371 0 0 4,2 16 Tree,Metal,GKL,Dowel 24 48
PO 649,5847 1206,371 0 0 4,2 19 Tree,Metal,GKL,Dowel 28,5 57
PO 649,5847 1206,371 0 0 4,2 25 Tree,Metal,GKL,Dowel 37,5 75
PO 649,5847 1206,371 0 0 4,2 32 Tree,Metal,GKL,Dowel 48 96
PO 649,5847 1206,371 0 0 4,2 38 Tree,Metal,GKL,Dowel 57 114
PO 649,5847 1206,371 0 0 4,2 41 Tree,Metal,GKL,Dowel 61,5 123
PO 649,5847 1206,371 0 0 4,2 51 Tree,Metal,GKL,Dowel 76,5 153
PO 649,5847 1206,371 0 0 4,2 57 Tree,Metal,GKL,Dowel 85,5 171
PO 649,5847 1206,371 0 0 4,2 75 Tree,Metal,GKL,Dowel 112,5 225
PS 649,5847 1206,371 0 1 4,2 13 Tree,Metal,GKL 19,5 39
PS 649,5847 1206,371 0 1 4,2 14 Tree,Metal,GKL 21 42
PS 649,5847 1206,371 0 1 4,2 16 Tree,Metal,GKL 24 48
PS 649,5847 1206,371 0 1 4,2 19 Tree,Metal,GKL 28,5 57
PS 649,5847 1206,371 0 1 4,2 25 Tree,Metal,GKL 37,5 75
PS 649,5847 1206,371 0 1 4,2 32 Tree,Metal,GKL 48 96
PS 649,5847 1206,371 0 1 4,2 38 Tree,Metal,GKL 57 114
PS 649,5847 1206,371 0 1 4,2 41 Tree,Metal,GKL 61,5 123
PS 649,5847 1206,371 0 1 4,2 51 Tree,Metal,GKL 76,5 153
PS 649,5847 1206,371 0 1 4,2 57 Tree,Metal,GKL 85,5 171
PS 649,5847 1206,371 0 1 4,2 75 Tree,Metal,GKL 112,5 225
Concerete 2680,171 4977,461 0 0 7,5 112 Concrete,Brick,FoamBlock 168 336
Concerete 2680,171 4977,461 0 0 7,5 132 Concrete,Brick,FoamBlock 198 396
Concerete 2680,171 4977,461 0 0 7,5 152 Concrete,Brick,FoamBlock 228 456
Concerete 2680,171 4977,461 0 0 7,5 182 Concrete,Brick,FoamBlock 273 546
Concerete 2680,171 4977,461 0 0 7,5 202 Concrete,Brick,FoamBlock 303 606
Concerete 2680,171 4977,461 0 0 7,5 72 Concrete,Brick,FoamBlock 108 216
Concerete 2680,171 4977,461 0 0 7,5 92 Concrete,Brick,FoamBlock 138 276
Roof 916,0161 1701,173 0 1 4,8 28 Tree,Metal 42 84
Roof 916,0161 1701,173 0 1 4,8 35 Tree,Metal 52,5 105
Roof 916,0161 1701,173 0 1 4,8 51 Tree,Metal 76,5 153
Roof 916,0161 1701,173 0 1 4,8 64 Tree,Metal 96 192
Roof 916,0161 1701,173 0 1 4,8 76 Tree,Metal 114 228
Roof 1284,579 2385,647 0 1 5,5 19 Tree,Metal 28,5 57
Roof 1284,579 2385,647 0 1 5,5 25 Tree,Metal 37,5 75
Roof 1284,579 2385,647 0 1 5,5 32 Tree,Metal 48 96
Roof 1284,579 2385,647 0 1 5,5 38 Tree,Metal 57 114
Roof 1284,579 2385,647 0 1 5,5 51 Tree,Metal 76,5 153
Roof 1284,579 2385,647 0 1 5,5 64 Tree,Metal 96 192
Roof 1284,579 2385,647 0 1 5,5 76 Tree,Metal 114 228
Roof 1781,918 3309,275 0 1 6,3 102 Tree,Metal 153 306
Roof 1781,918 3309,275 0 1 6,3 127 Tree,Metal 190,5 381
Roof 1781,918 3309,275 0 1 6,3 152 Tree,Metal 228 456
Roof 1781,918 3309,275 0 1 6,3 19 Tree,Metal 28,5 57
Roof 1781,918 3309,275 0 1 6,3 25 Tree,Metal 37,5 75
Roof 1781,918 3309,275 0 1 6,3 32 Tree,Metal 48 96
Roof 1781,918 3309,275 0 1 6,3 38 Tree,Metal 57 114
Roof 1781,918 3309,275 0 1 6,3 51 Tree,Metal 76,5 153
Roof 1781,918 3309,275 0 1 6,3 64 Tree,Metal 96 192
Roof 1781,918 3309,275 0 1 6,3 70 Tree,Metal 105 210
Roof 1781,918 3309,275 0 1 6,3 76 Tree,Metal 114 228
Uni 142,731 265,0719 0 0 2,5 10 Tree,Metal,GKL,Dowel 15 30
Uni 142,731 265,0719 0 0 2,5 13 Tree,Metal,GKL,Dowel 19,5 39
Uni 142,731 265,0719 0 0 2,5 16 Tree,Metal,GKL,Dowel 24 48
Uni 142,731 265,0719 0 0 2,5 20 Tree,Metal,GKL,Dowel 30 60
Uni 142,731 265,0719 0 0 2,5 25 Tree,Metal,GKL,Dowel 37,5 75
Uni 253,744 471,2389 0 0 3 10 Tree,Metal,GKL,Dowel 15 30
Uni 253,744 471,2389 0 0 3 12 Tree,Metal,GKL,Dowel 18 36
Uni 253,744 471,2389 0 0 3 16 Tree,Metal,GKL,Dowel 24 48
Uni 253,744 471,2389 0 0 3 20 Tree,Metal,GKL,Dowel 30 60
Uni 253,744 471,2389 0 0 3 25 Tree,Metal,GKL,Dowel 37,5 75
Uni 253,744 471,2389 0 0 3 30 Tree,Metal,GKL,Dowel 45 90
Uni 253,744 471,2389 0 0 3 35 Tree,Metal,GKL,Dowel 52,5 105
